Date,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Biking duration (ms),Walking duration (ms),Running duration (ms)
13-04-2022,95,121.886387,4281.819184,16,16,0.470147915,1.377432108,0.245607853,7129,,,,,1581800,
14-04-2022,79,262.1953894,2945.754349,4,4,0.446280329,1.501000881,0.261519164,5104,,,,,2966419,
15-04-2022,68,78.75707924,2774.931959,1,1,0.363865941,1.378154993,0.2510584,4988,,,,,183991,
16-04-2022,30,18.7256546,1159.077712,,,0.352007808,1.320868373,0.2510584,2199,,,,,243015,
17-04-2022,66,49.6470449,1989.156786,,,0.393036793,1.274119258,0.2510584,3558,,,,,644302,
18-04-2022,107,123.1261023,4896.906601,16,15,0.433726248,1.965793014,0.247001022,7878,,,,,1551718,
19-04-2022,105,184.7582664,4212.739889,10,10,0.516180274,1.476879835,0.260433197,7146,,,,,2397729,
20-04-2022,154,118.0365449,7638.252201,36,36,0.446113801,1.507936239,0.2510584,12035,,,,,1531838,
21-04-2022,142,221.5381643,7135.32287,46,46,0.449657432,1.501359463,0.2510584,11169,,,,,2875045,
22-04-2022,200,493.9335822,8645.451155,51,51,0.418996391,1.87619257,0.249254465,13987,,,,932212,5428824,
23-04-2022,87,304.0344151,4472.903997,28,28,0.595877521,1.524907589,0.261519164,7049,,,,,3945652,
24-04-2022,111,206.9915594,4291.060099,9,9,0.443915437,1.260527134,0.2510584,7131,,,,,2686264,
25-04-2022,30,66.06455354,1116.190221,,,0.422066046,1.6688205,0.247659519,2280,,,,,857364,
26-04-2022,76,220.1158204,3699.271489,17,17,0.393275294,1.515394092,0.2510584,6382,,,,,2856587,
27-04-2022,18,67.52991435,773.3273623,,,0.497840432,1.604256511,0.261519164,1568,,,,,717116,
28-04-2022,21,35.68590069,952.7474799,,,0.413411085,2.396223783,0.2510584,1743,,,,,370923,
29-04-2022,62,180.643457,3111.954803,35,35,0.372842052,1.534461975,0.261519164,5123,,,,627231,1684086,
30-04-2022,30,,1085.73894,,,0.396387198,1.853476882,0.2510584,2061,,,,,,
01-05-2022,39,8.033811569,1428.089535,1,1,0.372661439,1.337185264,0.2510584,2765,,,,,104260,
02-05-2022,70,20.01150298,3462.405173,21,21,0.579142476,1.361108899,0.250735819,5697,,,,,118706,
03-05-2022,21,28.1968627,856.9096055,,,0.395221211,2.086856604,0.2510584,1706,,,,,365929,
04-05-2022,161,70.80088282,3734.727956,1,1,0.364816489,1.622245908,0.261519164,6278,,,,,918830,
05-05-2022,94,57.45641184,3337.796094,4,4,0.418777539,1.34652853,0.244185433,5691,,,,,745650,
06-05-2022,51,9.148189545,2285.651234,1,1,0.370194213,1.618343949,0.2510584,3849,,,,,118722,
07-05-2022,49,22.49382591,1633.679333,,,0.508397101,1.202952266,0.271979928,2914,,,,,291917,
08-05-2022,51,50.33499956,1885.21821,,,0.344426699,1.770448089,0.2510584,3459,,,,,653230,
09-05-2022,117,270.3057652,5248.543567,27,19,0.536660849,3.785758018,0.2510584,8202,,,,,3507934,
10-05-2022,55,54.28316051,2074.829093,3,3,0.342543917,1.375118375,0.2510584,3666,,,,,704469,
11-05-2022,78,192.8305836,3640.371798,4,4,0.342041806,1.633744717,0.2510584,6172,,,,,2502488,
12-05-2022,92,223.391392,4110.447117,17,17,0.35003682,1.491743207,0.2510584,7042,,,,,2899096,
13-05-2022,177,184.9508041,7893.156001,41,41,0.520674782,1.438104153,0.2510584,12490,,,,,2084345,
14-05-2022,42,10.01991892,1527.44579,,,0.319111176,0.968060911,0.249728054,2823,,,,,130035,
15-05-2022,56,277.4098482,2075.06297,1,1,0.408095923,1.252632499,0.249523833,3886,,,,,3600128,
16-05-2022,170,351.4805822,7816.572486,31,31,0.438922104,1.471523166,0.249061063,12398,,,,,4561392,
17-05-2022,112,329.7857064,5520.129462,35,35,0.429569844,1.59453094,0.248333827,8952,,,,,4138848,
18-05-2022,219,275.6409893,8682.229932,20,20,0.49062595,1.518563151,0.253567964,13751,,,,,2594185,
19-05-2022,141,160.9375196,5033.078681,11,11,0.383978316,1.345657945,0.2510584,8350,,,,,337183,
20-05-2022,121,136.6025001,4300.365233,,,0.347008877,1.351833224,0.2510584,7535,,,,,1772780,
21-05-2022,51,42.21909499,1824.784318,,,0.422748953,1.177067041,0.261519164,3307,,,,,547905,
22-05-2022,16,40.50680161,634.2141441,,,0.449618732,0.986773014,0.2510584,1390,,,,,234138,
23-05-2022,19,,812.1900616,,,0.376631366,1.655638337,0.2510584,1613,,,,,,
24-05-2022,39,44.42974201,1461.197528,,,0.338745617,0.814794004,0.2510584,2575,,,,,386391,96369
25-05-2022,80,65.63763237,2990.372925,1,1,0.400268465,1.380149961,0.247267395,5416,,,,,359197,
26-05-2022,76,155.6560602,2943.721554,,,0.361217509,1.251696944,0.261519164,5045,,,,,1879054,
27-05-2022,74,96.82815504,2384.071034,9,9,0.348869605,1.251566887,0.2510584,4160,,,,600000,274819,
28-05-2022,72,52.2322495,2574.12941,3,3,0.377528104,1.579369068,0.261519164,4827,,,,206392,352305,54868
29-05-2022,48,31.21025896,1711.075589,,,0.331651561,1.179465652,0.2510584,2981,,,,,212411,
30-05-2022,63,36.61659622,2135.147205,,,0.353003273,1.383189678,0.2510584,3843,,,,,201346,67313
31-05-2022,23,,911.8361816,,,0.321837368,0.828442335,0.2510584,1647,,,,,,
01-06-2022,28,16.55145693,1171.065609,,,0.327567019,0.573710263,0.261519164,2127,,,,,214799,
02-06-2022,36,16.64005041,1487.097915,,,0.414174464,0.863081813,0.2510584,2741,,,,,74952,
03-06-2022,50,,1887.389508,,,0.363540907,1.079326987,0.241469845,3547,,,,,,
04-06-2022,46,94.60447311,1832.702249,,,0.323892827,1.214115858,0.2510584,3281,,,,,803065,
05-06-2022,95,173.3162414,3450.189927,,,0.33723572,1.220171332,0.2510584,5907,,,,,147586,
06-06-2022,13,11.2444849,585.4117861,,,0.364581553,0.956984639,0.261519164,1292,,,,,145927,
07-06-2022,44,24.98246956,1454.290969,,,0.296333792,0.757633686,0.2510584,2580,,,,,183217,
08-06-2022,40,58.33080578,1417.93932,,,0.384238823,1.270542145,0.248486519,2610,,,,,566110,96716
09-06-2022,18,25.64748192,953.3351834,,,0.362094531,1.154078841,0.2510584,2037,,,,,95870,32710
10-06-2022,38,8.924201965,1432.861106,,,0.35729163,1.129178762,0.2510584,2714,,,,,80178,
11-06-2022,36,43.09283853,1277.510497,1,1,0.352167612,1.209284782,0.2510584,2252,,,,,450105,
12-06-2022,54,44.53330708,2001.087605,,,0.379797793,1.015433908,0.247532159,3617,,,,,101128,
13-06-2022,155,261.3539619,3580.787607,,,0.328052301,1.659668207,0.261519164,6147,,,,,,
14-06-2022,41,94.7105999,1527.148655,,,0.328752047,0.957377911,0.2510584,3020,,,,,1229121,
15-06-2022,23,93.85331643,1129.454363,,,0.323357027,1.150032401,0.2510584,1996,,,,,189180,
16-06-2022,56,30.20051742,2099.958733,3,3,0.341555277,1.18402946,0.248800069,3848,,,,,250935,
17-06-2022,34,153.1942605,1429.888936,1,1,0.325094919,1.519834518,0.2510584,2603,,,,,822081,
18-06-2022,65,203.1117249,2444.580549,2,2,0.388260125,1.590717554,0.271979928,4216,,,,,1432655,
19-06-2022,17,37.57229829,766.4182563,,,0.327760398,0.84407264,0.271979928,1548,,,,,288847,100702
20-06-2022,54,108.1323299,1640.811959,13,13,0.360507541,1.111885548,0.2510584,3050,,,,858964,499131,
21-06-2022,54,15.87806744,1861.613137,1,1,0.386202763,1.579959631,0.2510584,3578,,,,,206061,
22-06-2022,79,130.8044062,2151.391944,23,23,0.369119874,1.055091619,0.255196303,4012,,,,1422809,,
23-06-2022,52,41.2965188,2019.455231,,,0.380025947,1.45004487,0.2510584,3811,,,,,394935,
24-06-2022,27,76.02693319,1166.879833,,,0.329426679,1.135392785,0.2510584,2276,,,,,986651,
25-06-2022,69,88.39601707,2659.536579,,,0.353457541,1.556432843,0.252868831,4542,,,,,168531,
26-06-2022,100,,4049.130017,3,3,0.417547704,1.287329435,0.2510584,7095,,,,,,
